strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue
20000,24-Jun-2027,20000.0,24-Jun-2027,NIFTY,OPTIDXNIFTY24-06-2027PE20000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,550.0,281.2,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
20000,30-Dec-2027,20000.0,30-Dec-2027,NIFTY,OPTIDXNIFTY30-12-2027PE20000.00,51.0,0.0,0.0,0.0,0.0,500.0,-24.649999999999977,-4.698370342132847,1050.0,250.0,550.0,273.6,150.0,499.0,22513.7,,,,,,,,,,,,,,,,,,,
20000,29-Jun-2028,20000.0,29-Jun-2028,NIFTY,OPTIDXNIFTY29-06-2028PE20000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,550.0,262.95,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
20000,28-Dec-2028,20000.0,28-Dec-2028,NIFTY,OPTIDXNIFTY28-12-2028PE20000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,550.0,250.5,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
20050,10-Apr-2024,20050.0,10-Apr-2024,NIFTY,OPTIDXNIFTY10-04-2024PE20050.00,8092.0,6260.0,341.70305676855895,41636.0,35.9,0.7,-0.20000000000000007,-22.22222222222223,956950.0,39300.0,2100.0,0.65,900.0,0.75,22513.7,20050.0,10-Apr-2024,NIFTY,OPTIDXNIFTY10-04-2024CE20050.00,110.0,0.0,0.0,0.0,0.0,2523.8,0.0,0.0,6350.0,7850.0,1800.0,2453.85,1500.0,2542.95,22513.7
20050,18-Apr-2024,20050.0,18-Apr-2024,NIFTY,OPTIDXNIFTY18-04-2024PE20050.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14200.0,1450.0,900.0,1.3,50.0,2.5,22513.7,20050.0,18-Apr-2024,NIFTY,OPTIDXNIFTY18-04-2024CE20050.00,4.0,0.0,0.0,0.0,0.0,2479.05,0.0,0.0,4250.0,4250.0,1500.0,2278.4,1500.0,2600.85,22513.7
20050,25-Apr-2024,20050.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE20050.00,49.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,31100.0,0.0,1000.0,2.5,0.0,0.0,22513.7,20050.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE20050.00,9.0,0.0,0.0,0.0,0.0,2592.75,0.0,0.0,6150.0,4250.0,1500.0,2487.4,1500.0,2629.7,22513.7
20050,30-May-2024,20050.0,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024PE20050.00,79.0,10.0,14.492753623188406,25.0,17.72,15.85,4.75,42.792792792792795,8450.0,150.0,50.0,13.5,150.0,15.85,22513.7,20050.0,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE20050.00,0.0,0.0,0.0,0.0,0.0,2650.4,0.0,0.0,3550.0,1750.0,1750.0,2225.9,1750.0,2801.05,22513.7
20100,10-Apr-2024,20100.0,10-Apr-2024,NIFTY,OPTIDXNIFTY10-04-2024PE20100.00,9584.0,4319.0,82.03228869895537,24756.0,35.21,0.7,-0.20000000000000007,-22.22222222222223,457000.0,34550.0,16150.0,0.6,50.0,0.7,22513.7,20100.0,10-Apr-2024,NIFTY,OPTIDXNIFTY10-04-2024CE20100.00,46.0,-49.0,-51.578947368421055,69.0,0.0,2405.15,-32.34999999999991,-1.3271794871794835,9800.0,7850.0,100.0,2429.1,100.0,2451.4,22513.7
20100,18-Apr-2024,20100.0,18-Apr-2024,NIFTY,OPTIDXNIFTY18-04-2024PE20100.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20600.0,950.0,900.0,1.3,50.0,2.5,22513.7,20100.0,18-Apr-2024,NIFTY,OPTIDXNIFTY18-04-2024CE20100.00,63.0,59.0,1475.0,59.0,0.0,2430.0,1.150000000000091,0.047347510138546677,4250.0,4250.0,1500.0,2267.1,1000.0,2589.05,22513.7
