Position Type,Entry Price,Entry Time,Exit Price,Profit/Loss
Long,21877.75,2024-04-19 10:00:00,22458.0,580.25
Short,21865.65,2024-04-19 10:24:00,22458.0,-592.3499999999985
Long,21873.2,2024-04-19 11:12:00,22458.0,584.7999999999993
Short,21907.3,2024-04-19 12:03:00,22458.0,-550.7000000000007
Long,21919.15,2024-04-19 12:06:00,22458.0,538.8499999999985
Short,22028.3,2024-04-19 13:37:00,22458.0,-429.7000000000007
Long,22062.9,2024-04-19 13:48:00,22458.0,395.09999999999854
Short,22119.55,2024-04-19 14:43:00,22458.0,-338.4500000000007
Long,22145.05,2024-04-19 14:53:00,22458.0,312.9500000000007
Short,22130.35,2024-04-19 15:03:00,22458.0,-327.65000000000146
Long,22142.9,2024-04-19 15:05:00,22458.0,315.09999999999854
Short,22141.15,2024-04-19 15:24:00,22458.0,-316.84999999999854
Long,22282.55,2024-04-22 09:15:00,22458.0,175.45000000000073
Short,22206.85,2024-04-22 09:46:00,22458.0,-251.15000000000146
Long,22245.55,2024-04-22 10:02:00,22458.0,212.45000000000073
Short,22226.45,2024-04-22 10:10:00,22458.0,-231.54999999999927
Long,22246.2,2024-04-22 10:12:00,22458.0,211.79999999999927
Short,22232.35,2024-04-22 10:34:00,22458.0,-225.65000000000146
Long,22251.0,2024-04-22 10:41:00,22458.0,207.0
Short,22292.1,2024-04-22 12:12:00,22458.0,-165.90000000000146
Long,22295.2,2024-04-22 12:35:00,22458.0,162.79999999999927
Short,22292.3,2024-04-22 12:37:00,22458.0,-165.70000000000073
Long,22296.75,2024-04-22 12:39:00,22458.0,161.25
Short,22286.4,2024-04-22 12:46:00,22458.0,-171.59999999999854
Long,22280.65,2024-04-22 13:32:00,22458.0,177.34999999999854
Short,22282.1,2024-04-22 14:23:00,22458.0,-175.90000000000146
Long,22302.35,2024-04-22 14:40:00,22458.0,155.65000000000146
Short,22370.65,2024-04-23 09:48:00,22458.0,-87.34999999999854
Long,22397.85,2024-04-23 09:58:00,22458.0,60.150000000001455
Short,22402.0,2024-04-23 10:30:00,22458.0,-56.0
Long,22387.15,2024-04-23 11:15:00,22458.0,70.84999999999854
Short,22388.25,2024-04-23 11:48:00,22458.0,-69.75
Long,22392.1,2024-04-23 11:53:00,22458.0,65.90000000000146
Short,22408.5,2024-04-23 12:36:00,22458.0,-49.5
Long,22414.25,2024-04-23 12:40:00,22458.0,43.75
Short,22410.3,2024-04-23 12:42:00,22458.0,-47.70000000000073
Long,22390.7,2024-04-23 13:32:00,22458.0,67.29999999999927
Short,22384.15,2024-04-23 14:11:00,22458.0,-73.84999999999854
Long,22395.95,2024-04-23 14:13:00,22458.0,62.04999999999927
Short,22389.35,2024-04-23 14:34:00,22458.0,-68.65000000000146
Long,22402.2,2024-04-23 14:47:00,22458.0,55.79999999999927
Short,22389.95,2024-04-23 14:55:00,22458.0,-68.04999999999927
Long,22403.05,2024-04-23 14:58:00,22458.0,54.95000000000073
Short,22378.25,2024-04-23 15:01:00,22458.0,-79.75
Long,22414.45,2024-04-24 09:16:00,22458.0,43.54999999999927
Short,22458.9,2024-04-24 11:05:00,22458.0,0.9000000000014552
Long,22466.2,2024-04-24 11:08:00,22458.0,-8.200000000000728
Short,22459.5,2024-04-24 11:12:00,22458.0,1.5
Long,22462.6,2024-04-24 11:28:00,22458.0,-4.599999999998545
Short,22457.65,2024-04-24 11:31:00,22458.0,-0.3499999999985448
